Grupo,Subgrupo,Produto,Unidade,Regiao,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Agrotóxico,Acaricida,"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,Sudeste,MG,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0
Agrotóxico,Acaricida,"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,Centro-Oeste,GO,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91,1.91
Agrotóxico,Acaricida,VERTIMEC,L,Nordeste,BA,2021,0.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,0.0
Agrotóxico,Acaricida,"VERTIMEC, 18 CE",L,Centro-Oeste,DF,2021,11000.0,11259.0,11300.0,11300.0,11341.0,11300.0,11259.0,13000.0,16000.0,16000.0,13090.0,23000.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Sul,SC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13850.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"DANIMEN, 300 EC",L,Norte,RO,2022,0.0,0.0,18000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,18667.0,18667.0
Agrotóxico,Acaricida,ENVIDOR,L,Sudeste,SP,2022,0.0,0.0,43400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36000.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Sul,SC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42750.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,Centro-Oeste,GO,2022,0.0,0.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,Sudeste,SP,2022,0.0,0.0,1382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,0.0
Agrotóxico,Acaricida,"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,Sudeste,SP,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,MG,2022,0.0,0.0,8667.0,0.0,8600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,Sudeste,ES,2022,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10333.0,10333.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Sul,SC,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000.0,0.0,0.0,0.0
Agrotóxico,Acaricida,"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,Nordeste,BA,2022,0.0,0.0,9100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500.0,0.0
Agrotóxico,Acaricida,"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,Sudeste,MG,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0
