Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
"GLIFOSATO, 480 G/L",L,GO,2021,"0,00","0,00","18,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GAMIT,L,PR,2022,"0,00","0,00","98,00","0,00","0,00","0,00","0,00","0,00","80,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GAMIT 360 CS, 360 G/L, CLOMAZINE, ISOXAZOLIDINONA, CS",L,RS,2022,"156,74","150,00","145,50","145,67","145,00","145,00","143,33","144,33","131,00","125,33","129,33","125,00",Agrotóxico,Herbicida
"GAMIT, 480 G/L",L,RR,2022,"93,00","134,00","136,00","154,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GAMIT STAR, 800 G/L, S-METOLACLORO",L,MT,2022,"116,30","0,00","121,49","121,49","119,65","121,40","121,40","121,40","121,19","122,80","122,80","122,85",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,MA,2022,"55,00","39,00","65,00","65,00","65,00","65,00","55,00","55,00","56,65","57,72","58,88","61,19",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,MG,2022,"25,00","25,00","25,00","25,00","25,00","25,00","30,00","30,00","30,00","30,00","30,00","36,00",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,BA,2022,"0,00","35,00","50,00","50,00","64,00","64,00","64,00","41,39","45,30","45,30","45,30","45,30",Agrotóxico,Herbicida
GLIFOSATO,L,ES,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","87,50","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,MG,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,BA,2022,"0,00","0,00","59,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,PR,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","176,90","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,RS,2022,"77,00","79,00","77,00","76,00","76,00","78,00","77,00","77,00","77,00","77,00","77,00","64,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 AGRIPEC",L,PR,2022,"0,00","0,00","91,50","0,00","0,00","0,00","0,00","0,00","123,50","0,00","172,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MS,2022,"58,15","59,00","63,77","62,60","60,30","60,48","55,98","64,00","0,00","0,00","62,00","43,80",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MT,2022,"21,00","0,00","21,00","21,00","21,85","0,00","22,19","24,15","24,15","0,00","24,55","0,00",Agrotóxico,Herbicida
"GAMIT STAR, 800 G/L, S-METOLACLORO",L,MT,2023,"126,05","128,50","128,50","128,50","128,10","121,20","121,20","121,20","121,20","121,20","121,20","121,20",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,BA,2023,"43,00","45,00","25,00","25,00","24,00","24,00","22,00","24,00","23,00","24,00","32,00","30,00",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,MA,2023,"60,16","60,88","60,88","60,88","59,92","58,70","58,70","27,23","27,23","29,10","31,50","0,00",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,MG,2023,"36,00","36,00","36,00","24,00","24,00","35,00","40,00","41,00","42,00","45,00","45,00","46,00",Agrotóxico,Herbicida
GLIFOSATO,L,MG,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","24,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,PR,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","80,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,ES,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","26,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,RS,2023,"66,00","66,00","39,00","32,00","30,00","23,70","21,00","28,25","29,00","28,50","26,17","27,50",Agrotóxico,Herbicida
GLIFOSATO,L,BA,2023,"0,00","0,00","49,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 AGRIPEC",L,PR,2023,"0,00","0,00","40,08","0,00","0,00","0,00","0,00","0,00","22,27","0,00","26,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,RO,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","73,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SC,2023,"48,00","64,75","59,50","35,85","35,85","33,00","27,70","28,27","28,00","26,02","26,00","25,75",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,BA,2023,"105,59","111,00","99,50","78,00","73,00","79,80","72,00","70,00","75,00","73,50","56,75","50,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,ES,2023,"0,00","0,00","60,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","61,20","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,GO,2023,"0,00","0,00","75,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GESAPRIM, 500 G/L, ATRAZINA, SYNGENTA PROTEÇÃO DE CULTIVOS LTDA., T 124 GA NZ, TRIAZINA, 500 CIBA-GEIGY",L,BA,2024,"32,30","33,00","34,00","35,00","33,70","0,00","37,00","0,00","27,00","0,00","29,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,RS,2024,"27,75","30,50","27,62","0,00","0,00","0,00","0,00","0,00","0,00","23,84","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,MG,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,50","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,PR,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","70,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,KG,PR,2024,"0,00","0,00","40,00","0,00","0,00","0,00","0,00","0,00","31,75","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,BA,2024,"0,00","0,00","39,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
GLIFOSATO,L,ES,2024,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","38,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 AGRIPEC",L,PR,2024,"0,00","0,00","30,43","0,00","0,00","0,00","0,00","0,00","22,00","22,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SC,2024,"26,72","26,97","26,45","0,00","24,25","0,00","23,25","0,00","24,17","0,00","25,45","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SP,2024,"27,38","0,00","21,43","0,00","23,90","0,00","22,50","0,00","23,12","22,17","23,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,PA,2024,"0,00","0,00","36,50","0,00","0,00","0,00","0,00","0,00","48,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,BA,2024,"19,20","20,00","41,72","22,00","20,00","0,00","22,00","0,00","16,00","44,75","17,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,ES,2024,"0,00","0,00","23,50","0,00","0,00","0,00","0,00","0,00","0,00","23,50","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,PR,2024,"26,46","26,91","31,62","0,00","26,34","0,00","23,00","0,00","23,69","0,00","17,30","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,GO,2024,"0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,PR,2020,"0,00","0,00","14,00","14,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SP,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,50","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,GO,2020,"17,00","17,00","17,00","19,00","28,00","28,00","20,00","20,00","20,00","20,00","20,00","21,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,MG,2020,"0,00","0,00","15,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RO,2020,"0,00","0,00","31,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","27,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RS,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","15,90","0,00","0,00",Agrotóxico,Herbicida
GOAL,L,MG,2020,"0,00","0,00","85,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","104,90","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,BA,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","100,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,MG,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","104,90","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,GO,2020,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","80,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,PR,2020,"0,00","0,00","95,35","96,00","0,00","0,00","0,00","0,00","0,00","0,00","124,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,SP,2020,"0,00","0,00","90,18","90,18","0,00","0,00","0,00","0,00","0,00","0,00","113,50","0,00",Agrotóxico,Herbicida
GRAMOCIL,L,MT,2020,"31,65","34,10","34,10","34,10","34,10","37,51","37,51","37,51","37,51","37,51","37,50","37,50",Agrotóxico,Herbicida
GRAMOCIL,L,PR,2020,"22,50","22,50","24,55","23,00","23,12","23,12","23,15","23,30","23,30","23,30","23,30","23,30",Agrotóxico,Herbicida
GRAMOXONE,L,GO,2020,"19,00","19,00","19,00","20,00","21,50","21,00","22,00","22,00","22,00","22,00","22,00","22,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,RO,2021,"0,00","0,00","30,56","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SC,2021,"19,50","22,89","20,50","20,50","21,30","21,30","34,60","34,60","38,95","40,25","66,00","90,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,PR,2021,"17,28","17,28","18,25","20,50","20,50","14,50","14,50","21,18","21,47","40,50","41,11","79,11",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,AL,2021,"0,00","0,00","19,41","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MS,2021,"23,00","23,00","23,00","32,00","32,00","32,00","45,00","0,00","65,00","65,00","98,00","125,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MT,2021,"0,00","0,00","0,00","0,00","30,00","30,00","18,45","18,63","18,63","20,42","20,42","125,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,RS,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","60,00","0,00","0,00","125,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",L,MT,2021,"16,50","16,50","18,15","18,15","18,15","18,15","18,45","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,MT,2021,"20,97","20,97","23,03","23,03","23,03","23,03","22,57","23,20","23,20","24,68","24,68","45,98",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,SP,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","67,50","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,PR,2021,"0,00","0,00","13,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RO,2021,"0,00","0,00","32,33","0,00","0,00","0,00","0,00","0,00","0,00","0,00","110,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,MS,2021,"0,00","0,00","19,65","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SP,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","67,50","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,MG,2021,"0,00","0,00","19,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,ES,2022,"0,00","0,00","118,75","0,00","0,00","0,00","0,00","0,00","0,00","0,00","101,67","101,67",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MS,2022,"58,15","59,00","63,77","62,60","60,30","60,48","55,98","64,00","0,00","0,00","62,00","43,80",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,RO,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","118,67","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SC,2022,"112,50","82,69","60,00","65,00","70,85","72,92","73,70","84,00","84,65","75,00","64,20","50,85",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MT,2022,"21,00","0,00","21,00","21,00","21,85","0,00","22,19","24,15","24,15","0,00","24,55","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,SP,2022,"40,89","72,79","86,17","96,00","94,55","129,00","104,50","0,00","95,97","129,00","94,50","45,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,GO,2022,"0,00","0,00","78,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MG,2022,"0,00","0,00","92,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,PR,2022,"61,49","68,81","72,14","83,29","88,28","78,61","71,46","72,71","66,74","52,00","45,20","49,50",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MS,2022,"125,00","125,00","125,00","125,00","125,00","125,00","120,00","120,00","83,50","83,50","83,50","78,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MT,2022,"125,00","0,00","125,00","123,80","122,00","122,15","123,90","121,70","121,95","121,95","118,90","118,90",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,RS,2022,"122,90","108,00","80,50","80,00","105,00","110,00","109,50","110,00","80,50","89,00","89,50","64,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,MT,2022,"45,98","0,00","48,38","28,71","49,23","49,78","50,01","51,13","51,95","65,57","52,05","89,50",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,SP,2022,"0,00","0,00","87,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","87,25","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,GO,2022,"95,00","0,00","95,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","112,89","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,PA,2023,"0,00","0,00","70,00","0,00","0,00","0,00","0,00","0,00","60,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MS,2023,"43,80","42,06","38,53","30,00","28,00","28,00","26,25","25,93","25,93","26,05","18,75","19,75",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MG,2023,"0,00","0,00","82,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,GO,2023,"0,00","0,00","75,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,ES,2023,"0,00","0,00","60,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","61,20","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,BA,2023,"105,59","111,00","99,50","78,00","73,00","79,80","72,00","70,00","75,00","73,50","56,75","50,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MT,2023,"118,90","121,00","121,29","121,29","121,29","121,29","121,29","121,29","121,29","122,80","119,56","119,08",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MS,2023,"78,00","49,27","49,27","45,00","29,00","29,00","56,00","54,32","54,32","54,32","28,00","32,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,RS,2023,"68,00","68,00","54,20","51,00","37,00","29,85","28,15","29,77","30,15","29,90","29,25","26,75",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,SP,2023,"0,00","0,00","49,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","30,90","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,MT,2023,"52,18","52,18","52,18","52,20","51,60","49,69","49,69","49,77","49,77","48,82","47,58","46,71",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,GO,2023,"0,00","0,00","78,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","34,40","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SC,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","52,90","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RS,2023,"47,00","47,00","39,00","32,00","32,00","23,70","23,70","24,50","24,50","24,50","24,50","25,10",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SP,2023,"0,00","0,00","50,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","30,90","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,MG,2024,"0,00","0,00","39,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,ES,2024,"0,00","0,00","23,50","0,00","0,00","0,00","0,00","0,00","0,00","23,50","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 480 G/L",L,GO,2024,"0,00","0,00","25,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,RS,2024,"26,88","33,62","27,31","0,00","26,96","0,00","27,96","0,00","30,00","0,00","30,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MT,2024,"118,45","117,07","113,98","0,00","111,42","0,00","31,14","0,00","30,65","0,00","29,73","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,MS,2024,"32,00","32,00","23,78","0,00","24,00","0,00","23,00","0,00","21,00","0,00","23,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, 720 G/KG, GLIFOSATO, NORTOX S.A., SRF - CA - 03, GLICINA SUBSTITUÍDA, NORTOX WG",KG,DF,2024,"0,00","0,00","0,00","0,00","0,00","0,00","23,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,SP,2024,"0,00","0,00","21,98","0,00","0,00","0,00","0,00","0,00","0,00","20,90","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, ATANOR",L,MT,2024,"46,16","46,52","46,80","0,00","46,15","0,00","32,18","0,00","29,91","0,00","29,23","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SP,2024,"0,00","0,00","21,98","0,00","0,00","0,00","0,00","0,00","0,00","20,90","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RS,2024,"26,80","16,00","24,00","0,00","24,00","0,00","24,00","0,00","24,00","0,00","24,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RO,2024,"0,00","0,00","55,00","0,00","0,00","0,00","0,00","0,00","0,00","37,63","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,MG,2024,"0,00","0,00","28,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,GO,2024,"0,00","0,00","24,00","0,00","0,00","0,00","0,00","0,00","0,00","26,30","26,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SC,2024,"0,00","0,00","0,00","0,00","0,00","40,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,DF,2020,"29,00","29,00","29,00","29,00","31,00","31,00","33,00","33,00","33,00","41,00","44,00","44,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,BA,2020,"20,64","20,64","27,82","0,00","20,64","20,64","20,64","20,64","20,64","20,64","23,00","23,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,GO,2020,"18,00","17,00","17,00","17,00","20,00","20,00","20,00","20,00","20,00","20,00","20,00","20,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,MG,2020,"18,00","16,50","22,25","16,50","21,40","21,00","21,00","20,00","20,00","20,00","20,00","20,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,MS,2020,"15,30","15,30","15,30","15,30","12,00","12,00","12,00","12,00","12,00","12,00","12,00","12,00",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,MT,2020,"18,46","19,80","19,80","19,80","19,80","21,73","21,73","21,73","21,73","21,73","22,90","22,90",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,RS,2020,"13,55","13,55","17,20","14,50","14,50","15,80","15,80","15,80","15,80","15,80","15,80","15,80",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,PI,2020,"18,57","22,19","22,19","27,31","27,31","26,74","26,74","26,74","27,76","28,79","28,79","26,38",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,PR,2020,"18,87","18,87","15,42","15,62","15,67","17,72","17,76","17,77","17,77","17,77","26,92","22,67",Agrotóxico,Herbicida
"GRAMOXONE, 200",L,RR,2020,"20,00","20,00","20,00","20,00","20,00","20,00","18,00","18,00","18,00","18,00","18,00","18,00",Agrotóxico,Herbicida
"HERBADOX, 500 G/L, PENDIMETALINA, BASF S.A., BENTLEY, DINITROANILINA, 500 CE",L,SC,2020,"0,00","0,00","56,56","0,00","0,00","0,00","0,00","0,00","0,00","0,00","65,00","0,00",Agrotóxico,Herbicida
HUSSAR,KG,RS,2020,"829,00","829,00","829,00","810,00","685,70","810,00","810,00","810,00","810,00","849,00","864,50","849,00",Agrotóxico,Herbicida
HUSSAR,KG,PR,2020,"0,00","0,00","841,94","788,89","788,89","700,00","700,00","700,00","700,00","0,00","671,00","0,00",Agrotóxico,Herbicida
KIFIX,KG,RS,2020,"960,00","960,00","960,00","925,00","925,00","925,00","925,00","925,00","925,00","925,00","900,00","900,00",Agrotóxico,Herbicida
"KIFIX, 525 + 175 G/KG, IMAZAPIR + IMAZAPIQUE, BAYER CROPSCIENCE LTDA, 5320, IMIDAZOLINONA, GRANULADO",KG,SC,2020,"0,00","0,00","772,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,RS,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","50,00","50,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SC,2021,"0,00","0,00","23,98","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
"GLIFOSATO, NORTOX",L,SP,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","67,50","0,00",Agrotóxico,Herbicida
GOAL,L,MG,2021,"0,00","0,00","101,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00","140,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,GO,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","80,00","80,00",Agrotóxico,Herbicida
"GOAL, BR",L,BA,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","140,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,MG,2021,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","120,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,PR,2021,"0,00","0,00","124,28","0,00","0,00","0,00","0,00","0,00","0,00","0,00","142,31","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,SP,2021,"0,00","0,00","126,90","0,00","0,00","0,00","0,00","0,00","0,00","0,00","104,00","0,00",Agrotóxico,Herbicida
"GOAL, BR",L,AL,2021,"0,00","0,00","46,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Herbicida
