Produto,Unidade,UF,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Grupo,Subgrupo
VERTIMEC,L,BA,2021,"0,00","0,00","55,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","65,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,DF,2021,"110,00","112,59","113,00","113,00","113,41","113,00","112,59","130,00","160,00","160,00","130,90","230,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,SC,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","138,50","0,00","0,00","0,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,RO,2022,"0,00","0,00","180,00","180,00","0,00","0,00","0,00","0,00","0,00","0,00","186,67","186,67",Agrotóxico,Acaricida
ENVIDOR,L,SP,2022,"0,00","0,00","434,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","360,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SC,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","427,50","0,00","0,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,GO,2022,"0,00","0,00","620,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"KUMULUS, 800 G/KG, ENXOFRE, BASF S.A., BENTLEY, INORGÂNICO, DF",KG,SP,2022,"0,00","0,00","13,82","0,00","0,00","0,00","0,00","0,00","0,00","0,00","13,50","0,00",Agrotóxico,Acaricida
"OBERON, 240 G/L, ESPIROMESIFENO, BAYER S.A., 5310, CETOENOL",L,SP,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","250,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,MG,2022,"0,00","0,00","86,67","0,00","86,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"OMITE, 300 G/KG, PROPARGITO, CROMPTON LTDA., R 420 EV, SULFITO DE ALQUILA, 300 PM",L,ES,2022,"0,00","0,00","100,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","103,33","103,33",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,SC,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","120,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"ORTUS, 50 G/L, FENPIROXIMATO, BASF S.A., BENTLEY, PIRAZOL",L,BA,2022,"0,00","0,00","91,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","115,00","0,00",Agrotóxico,Acaricida
"SANMITE, 200 G/L, PIRIDABEM, IHARABRAS S.A. INDUSTRIAS QUÍMICAS, 650 ADVANCED, PIRIDAZINONA",L,MG,2022,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","150,00","0,00",Agrotóxico,Acaricida
"TALENTO, 500 G/KG, HEXYTHIAZOX, DU PONT DO BRASIL S.A., FH, TIAZOLIDINACARBOXAMIDA, WP",KG,GO,2022,"0,00","0,00","2.010,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","2.010,00","0,00",Agrotóxico,Acaricida
VERTIMEC,L,BA,2022,"0,00","0,00","70,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","75,00","0,00",Agrotóxico,Acaricida
"VERTIMEC, 18 CE",L,DF,2022,"230,00","230,00","230,00","156,00","155,00","155,00","155,94","160,00","160,00","160,00","160,00","155,70",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,SC,2023,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","189,00","0,00","0,00","0,00",Agrotóxico,Acaricida
"DANIMEN, 300 EC",L,RO,2023,"0,00","0,00","188,33","0,00","0,00","0,00","0,00","0,00","0,00","0,00","192,70","192,70",Agrotóxico,Acaricida
ENVIDOR,L,SP,2023,"360,00","0,00","200,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","390,00","0,00",Agrotóxico,Acaricida
"ENVIDOR, 240 G/L, ESPIRODICLOFENO, BAYER S.A, TM135, CETOENOL",L,SP,2023,"0,00","0,00","125,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","390,00","327,25",Agrotóxico,Acaricida
